"abb","plain"
"#vabeach","va beach"
"#sweaty","sweaty"
"#bbq","barbeque"
"#wasnow","was now"
"#stopraining","stop raining"
"#wet","wet"
"#hope","hope"
"#yallneedtobreakup","you all need to break up"
"#bouttime","about time"
"#forreal","for real"
"#justmyluck","just my luck"
"#ftw","ftw"
"#lovinlife","loving life"
"#fishing","fishing"
"#letsgo","let us go"
"#dumb","dumb"
"#ironic","ironic"
"#thegoodlife","the good life"
"#cltweather","clt weather"
"#lonelytweet","lonely tweet"
"#whitegirlproblems","white girl problems"
"#lovemylife","love my life"
"#peace","peace"
"#sunsets","sunsets"
"#graduation","graduation"
"#goodmorning","good morning"
"#whereissummer","where is summer"
"#sohot","so hot"
"#fuckthis","fuck this"
"#ihow","i how"
"#brr","brr"
"#family","family"
"#happytweet","happy tweet"
"#happyhour","happy hour"
"#ohioweather","ohio weather"
"#toocold","too cold"
"#earth","earth"
"#tropicalstorm","tropical storm"
"#amazing","amazing"
"#pictures","pictures"
"#severewx","severe weather"
"#weak","weak"
"#tanning","tanning"
"#grateful","grateful"
"#cycling","cycling"
"#brrrr","brrrr"
"#environment","environment"
"#newx","ne weather"
"#top","top"
"#imjustsaying","i am just saying"
"#comeonsummer","come on summer"
"#50thingsilove","50 things i love"
"#severeweather","severe weather"
"#faith","faith"
"#thankyoulord","thank you lord"
"#mychoice","my choice"
"#getmeouttahere","get me out of here"
"#priceless","priceless"
"#fun","fun"
"#feelsgood","feels good"
"#ilovespring","i love spring"
"#dislike","dislike"
"#river","river"
"#boating","boating"
"#49news","49 news"
"#garden","garden"
"#imsotiredof","i am so tired of"
"#god","god"
"#hurricane","hurricane"
"#sorry","sorry"
"#disrespectful","disrespectful"
"#really","really"
"#relax","relax"
"#lonely","lonely"
"#wowthatscrazy","wow that is crazy"
"#crazyweather","crazy weather"
"#art","art"
"#njwx","nj weather"
"#neversaynever","never say never"
"#nothappy","not happy"
"#besafe","be safe"
"#windy","windy"
"#greatday","great day"
"#wheresthesun","where is the sun"
